,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
,22611,2173.786252,11000,29,71
,6060,549.6598639,11000,29,74
,37990,3959.697733,11000,26,66
,5730,2033.51735,11000,61,73
,18350,9044.359255,11000,57,66
,5790,2185.13471,11000,57,69
,10690,2688.368844,11000,51,68
,42090,8457.468185,11000,48,69
,8890,1313.631326,11000,48,76
,14730,10844.17178,11000,48,55
,45890,10708.06326,11000,47,65
,28469,10022.33522,11000,47,59
,3870,3113.991954,11000,44,49
,9220,4024.248303,11000,43,53
,34630,5289.714868,11000,42,69
,22910,2461.455815,11000,40,78
,23520,4756.853933,11000,40,60
,3630,3651.299246,11000,39,44
,11410,1435.220126,11000,39,72
,27920,3322.491075,11000,38,73
,8990,2168.442211,11000,38,56
,9360,1250.315399,11000,38,69
,32410,5035.866891,11000,38,64
,8020,1405.921309,11000,37,61
,37050,4994.383285,11000,37,68
,23100,3950.969213,11000,37,61
,6490,1082.16767,11000,37,62
,5750,683.4164218,11000,36,71
,7190,1447.32722,11000,36,57
,11281,2073.501481,11000,36,59
,33500,6632.568883,11000,36,57
,7309,1004.481771,11000,36,66
,26690,5180.28898,11000,35,57
,16100,2219.074237,11000,35,65
,8170,1005.43534,11000,35,69
,11170,1769.037878,11000,35,61
,11759,1224.754079,11000,35,74
,49620,5396.73716,11000,35,73
,44800,4613.536243,11000,34,74
,16390,1651.570285,11000,34,75
,5920,1715.113472,11000,34,49
,11640,1574.273048,11000,34,65
,29010,4868.811189,11000,34,59
,10240,1252.258985,11000,34,68
,19800,2060.056068,11000,34,73
,32040,3606.528672,11000,34,70
,19250,2001.617469,11000,34,73
,45890,5513.784127,11000,34,68
,7930,885.7860933,11000,34,71
,7600,638.0299426,11000,34,82
,33450,3552.631579,11000,34,72
,7690,826.0674962,11000,34,72
,43200,4863.951961,11000,33,70
,9640,1068.30845,11000,33,70
,6910,641.2662405,11000,33,77
,6390,1070.750326,11000,33,58
,3670,471.722365,11000,33,65
,44860,4864.190838,11000,33,71
,16450,3326.032013,11000,33,53
,29940,3104.467295,11000,33,72
,9390,1052.690583,11000,33,69
,37659,3328.318562,11000,33,79
,7910,1065.001122,11000,32,63
,6320,757.8190054,11000,32,67
,26060,5967.559316,11000,32,51
